hgncid,uniprot_id,protein_names,targetclass,go_function
DDX1,Q92499,ATP-dependent Rna helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1) (DEAD box protein retinoblastoma) (DBP-RB),Enzyme_all_others,"chromatin binding; transcription coregulator activity; RNA helicase activity; single-stranded RNA binding; helicase activity; nuclease activity; ATP-dependent helicase activity; poly(A) binding; pyrophosphatase activity; hydrolase activity, acting on ester bonds; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; ATPase activity; nucleoside-triphosphatase activity; DNA/RNA helicase activity; ATPase activity, coupled; purine NTP-dependent helicase activity; poly-purine tract binding; catalytic activity, acting on DNA; catalytic activity, acting on RNA"
FARS2,O95363,"Phenylalanine--tRna ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRna synthetase) (PheRS)",Enzyme_all_others,"tRNA binding; aminoacyl-tRNA ligase activity; phenylalanine-tRNA ligase activity; ligase activity; ligase activity, forming carbon-oxygen bonds; catalytic activity, acting on RNA; catalytic activity, acting on a tRNA"
PLEKHH2,Q8IVE3,Pleckstrin homology domain-containing family H member 2,Other,NA
COX6A2,Q02221,"Cytochrome c oxidase subunit 6A2, mitochondrial (Cytochrome c oxidase polypeptide VIa-heart) (COXVIAH) (Cytochrome c oxidase subunit VIA-muscle) (COX VIa-M)",Enzyme_all_others,NA
GRK4,P32298,G protein-coupled receptor kinase 4 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK4) (ITI1),Kinase_Protein,protein kinase activity; rhodopsin kinase activity
DRC3,Q9H069,Dynein regulatory complex subunit 3 (Leucine-rich repeat-containing protein 48),Other,"""NA"""
PSD2,Q9BQI7,PH and SEC7 domain-containing protein 2 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 C) (Exchange factor for ARF6 C) (Pleckstrin homology and SEC7 domain-containing protein 2),Other,"""NA"""
ZNF48,Q96MX3,Zinc finger protein 48 (Zinc finger protein 553),Transcriptional_Factor_all_others,NA
HOMER2,Q9NSB8,Homer protein homolog 2 (Homer-2) (Cupidin),Other,NA
TBC1D5,Q92609,TBC1 domain family member 5,Other,AP-2 adaptor complex binding
OPHN1,O60890,Oligophrenin-1,Other,GTPase activator activity; phospholipid binding; enzyme activator activity; lipid binding; enzyme regulator activity; GTPase regulator activity; nucleoside-triphosphatase regulator activity
RAVER2,Q9HCJ3,Ribonucleoprotein PTB-binding 2 (Protein raver-2),Other,"""NA"""
C6orf118,Q5T5N4,Uncharacterized protein C6orf118,Other,NA
LRFN5,Q96NI6,Leucine-rich repeat and fibronectin type-III domain-containing protein 5,Receptor_all_others,NA
MED28,Q9H204,Mediator of Rna polymerase II transcription subunit 28 (Endothelial-derived protein 1) (Mediator complex subunit 28) (Merlin and Grb2-interacting cytoskeletal protein) (Magicin) (Tumor angiogenesis marker EG-1),Transcriptional_Factor_all_others,NA
NIPAL4,Q0D2K0,Magnesium transporter NIPA4 (Ichthyin) (NIPA-like protein 4) (Non-imprinted in Prader-Willi/Angelman syndrome region protein 4),Other,"""NA"""
ICE2,Q659A1,Little elongation complex subunit 2 (Interactor of little elongator complex ELL subunit 2) (NMDA receptor-regulated protein 2),Other,"""NA"""
ZNF501,Q96CX3,Zinc finger protein 501 (Zinc finger protein 52),Transcriptional_Factor_all_others,NA
BLOC1S2,Q6QNY1,Biogenesis of lysosome-related organelles complex 1 subunit 2 (BLOC-1 subunit 2) (Centrosome-associated protein),Other,cytoskeletal protein binding; tubulin binding; gamma-tubulin binding
SAMD14,Q8IZD0,Sterile alpha motif domain-containing protein 14 (SAM domain-containing protein 14),Other,NA
FBRSL1,Q9HCM7,Fibrosin-1-like protein (AUTS2-like protein) (HBV X-transactivated gene 9 protein) (HBV XAg-transactivated protein 9),Other,"""NA"""
GRHL1,Q9NZI5,Grainyhead-like protein 1 homolog (Mammalian grainyhead) (NH32) (Transcription factor CP2-like 2) (Transcription factor LBP-32),Transcriptional_Factor_all_others,"transcription regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; RNA polymerase II proximal promoter sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding; proximal promoter sequence-specific DNA binding; RNA polymerase II regulatory region DNA binding; regulatory region nucleic acid binding; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription activator activity, RNA polymerase II-specific; chromatin binding; double-stranded DNA binding; chromatin DNA binding; transcription regulatory region DNA binding; sequence-specific double-stranded DNA binding"
ENTPD6,O75354,Ectonucleoside triphosphate diphosphohydrolase 6 (NTPDase 6) (EC 3.6.1.6) (CD39 antigen-like 2),Enzyme_all_others,"pyrophosphatase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; nucleoside-diphosphatase activity"
TNS4,Q8IZW8,Tensin-4 (C-terminal tensin-like protein),Other,NA
TMEM176B,Q3YBM2,Transmembrane protein 176B (Protein LR8),Other,NA
CYP21A2,P08686,Steroid 21-hydroxylase (EC 1.14.14.16) (21-OHase) (Cytochrome P-450c21) (Cytochrome P450 21) (Cytochrome P450 XXI) (Cytochrome P450-C21) (Cytochrome P450-C21B),Enzyme_all_others,"monooxygenase activity; steroid 21-monooxygenase activity; steroid hydroxylase activity; oxidoreductase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; tetrapyrrole binding; cofactor binding"
CALCOCO2,Q13137,Calcium-binding and coiled-coil domain-containing protein 2 (Antigen nuclear dot 52 kDa protein) (Nuclear domain 10 protein NDP52) (Nuclear domain 10 protein 52) (Nuclear dot protein 52),Other,NA
CTNNBL1,Q8WYA6,Beta-catenin-like protein 1 (Nuclear-associated protein) (naP) (Testis development protein NYD-SP19),Other,"""NA"""
PRR16,Q569H4,Protein Largen (Mesenchymal stem cell protein DSC54) (Proline-rich protein 16),Other,NA
CYB5R3,P00387,naDH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1) [Cleaved into: naDH-cytochrome b5 reductase 3 membrane-bound form; naDH-cytochrome b5 reductase 3 soluble form],Enzyme_all_others,"cytochrome-b5 reductase activity, acting on NAD(P)H; oxidoreductase activity; oxidoreductase activity, acting on NAD(P)H; oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor"
SH3BP4,Q9P0V3,SH3 domain-binding protein 4 (EH-binding protein 10) (Transferrin receptor-trafficking protein),Other,Ras GTPase binding; small GTPase binding; GTPase binding
DOCK6,Q96HP0,Dedicator of cytokinesis protein 6,Other,NA
AGAP2,Q99490,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 (AGAP-2) (Centaurin-gamma-1) (Cnt-g1) (GTP-binding and GTPase-activating protein 2) (GGAP2) (Phosphatidylinositol 3-kinase enhancer) (PIKE)",Other,"GTPase activity; pyrophosphatase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; nucleoside-triphosphatase activity"
FBXO44,Q9H4M3,F-box only protein 44 (F-box protein FBX30) (F-box/G-domain protein 3),Transcriptional_Factor_all_others,ubiquitin-protein transferase activity; ubiquitin-like protein transferase activity
S100A4,P26447,Protein S100-A4 (Calvasculin) (Metastasin) (Placental calcium-binding protein) (Protein Mts1) (S100 calcium-binding protein A4),Other,RAGE receptor binding
FAM200A,Q8TCP9,Protein FAM200A,Other,NA
CPN2,P22792,Carboxypeptidase N subunit 2 (Carboxypeptidase N 83 kDa chain) (Carboxypeptidase N large subunit) (Carboxypeptidase N polypeptide 2) (Carboxypeptidase N regulatory subunit),Protease,"carboxypeptidase activity; metallocarboxypeptidase activity; peptidase activity; metalloexopeptidase activity; metallopeptidase activity; exopeptidase activity; peptidase activity, acting on L-amino acid peptides"
ARHGEF18,Q6ZSZ5,Rho guanine nucleotide exchange factor 18 (114 kDa Rho-specific guanine nucleotide exchange factor) (p114-Rho-GEF) (p114RhoGEF) (Septin-associated RhoGEF) (SA-RhoGEF),Other,guanyl-nucleotide exchange factor activity; Ras guanyl-nucleotide exchange factor activity; Rho guanyl-nucleotide exchange factor activity; Ras GTPase binding; Rho GTPase binding; small GTPase binding; GTPase binding
RAP2C,Q9Y3L5,Ras-related protein Rap-2c,Transcriptional_Factor_all_others,nucleotide binding; nucleoside binding; purine nucleoside binding; transcription coregulator activity; transcription coactivator activity; GTP binding; purine nucleotide binding; guanyl nucleotide binding; GDP binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; guanyl ribonucleotide binding; purine ribonucleoside triphosphate binding; carbohydrate derivative binding; nucleoside phosphate binding
NCKIPSD,Q9NZQ3,NCK-interacting protein with SH3 domain (54 kDa VacA-interacting protein) (54 kDa vimentin-interacting protein) (VIP54) (90 kDa SH3 protein interacting with Nck) (AF3p21) (Dia-interacting protein 1) (DIP-1) (Diaphanous protein-interacting protein) (SH3 adapter protein SPIN90) (WASP-interacting SH3-domain protein) (WISH) (Wiskott-Aldrich syndrome protein-interacting protein),Other,NA
UGDH,O60701,UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22),Enzyme_all_others,"UDP-glucose 6-dehydrogenase activity; electron transfer activity; oxidoreductase activity; oxidoreductase activity, acting on CH-OH group of donors; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
ZNF165,P49910,Zinc finger protein 165 (Cancer/testis antigen 53) (CT53) (LD65) (Zinc finger and SCAN domain-containing protein 7),Transcriptional_Factor_all_others,NA
TMEM89,A2RUT3,Transmembrane protein 89,Other,"""NA"""
SCUBE3,Q8IX30,"Signal peptide, CUB and EGF-like domain-containing protein 3",Extracellular_all_others,NA
TEX14,Q8IWB6,Inactive serine/threonine-protein kinase TEX14 (Protein kinase-like protein SgK307) (Sugen kinase 307) (Testis-expressed sequence 14) (Testis-expressed sequence 14 protein),Kinase_Protein,kinase binding; protein kinase binding
YIPF4,Q9BSR8,Protein YIPF4 (YIP1 family member 4),Other,"""NA"""
ATXN10,Q9UBB4,Ataxin-10 (Brain protein E46 homolog) (Spinocerebellar ataxia type 10 protein),Other,"""NA"""
TNFAIP3,P21580,Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 2.3.2.-) (EC 3.4.19.12) (OTU domain-containing protein 7C) (Putative Dna-binding protein A20) (Zinc finger protein A20) [Cleaved into: A20p50; A20p37],Enzyme_all_others,"protease binding; ubiquitin-protein transferase activity; thiol-dependent ubiquitin-specific protease activity; peptidase activity; cysteine-type peptidase activity; ubiquitin-like protein-specific protease activity; ubiquitin-like protein transferase activity; ubiquitin-like protein binding; thiol-dependent ubiquitinyl hydrolase activity; ubiquitin binding; protein self-association; Lys63-specific deubiquitinase activity; peptidase activity, acting on L-amino acid peptides; ubiquitinyl hydrolase activity"
PABPC1,P11940,Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1),Other,"single-stranded RNA binding; mRNA binding; mRNA 3'-UTR binding; protein C-terminus binding; poly(A) binding; poly-pyrimidine tract binding; poly(U) RNA binding; translation activator activity; translation regulator activity; poly-purine tract binding; translation regulator activity, nucleic acid binding"
PLEKHA3,Q9HB20,Pleckstrin homology domain-containing family A member 3 (PH domain-containing family A member 3) (Phosphatidylinositol-four-phosphate adapter protein 1) (FAPP-1) (Phosphoinositol 4-phosphate adapter protein 1),Other,phospholipid binding; lipid binding; phosphatidylinositol binding; phosphatidylinositol-4-phosphate binding; phosphatidylinositol phosphate binding
CHST8,Q9H2A9,Carbohydrate sulfotransferase 8 (EC 2.8.2.-) (Galnac-4-O-sulfotransferase 1) (Galnac-4-ST1) (Galnac4ST-1) (N-acetylgalactosamine-4-O-sulfotransferase 1),Enzyme_Transferase,"N-acetylgalactosamine 4-O-sulfotransferase activity; sulfotransferase activity; transferase activity, transferring sulfur-containing groups"
CASP9,P55211,Caspase-9 (CASP-9) (EC 3.4.22.62) (Apoptotic protease Mch-6) (Apoptotic protease-activating factor 3) (APAF-3) (ICE-like apoptotic protease 6) (ICE-LAP6) [Cleaved into: Caspase-9 subunit p35; Caspase-9 subunit p10],Protease,"endopeptidase activity; cysteine-type endopeptidase activity; enzyme activator activity; peptidase activity; cysteine-type peptidase activity; SH3 domain binding; kinase binding; protein kinase binding; protein domain specific binding; enzyme regulator activity; peptidase activity, acting on L-amino acid peptides"
SCN10A,Q9Y5Y9,Sodium channel protein type 10 subunit alpha (Peripheral nerve sodium channel 3) (PN3) (hPN3) (Sodium channel protein type X subunit alpha) (Voltage-gated sodium channel subunit alpha nav1.8),Ion Channel,ion channel activity; voltage-gated sodium channel activity; cation channel activity; sodium channel activity; cation transmembrane transporter activity; monovalent inorganic cation transmembrane transporter activity; sodium ion transmembrane transporter activity; channel activity; passive transmembrane transporter activity; substrate-specific channel activity; inorganic cation transmembrane transporter activity; ion channel binding; metal ion transmembrane transporter activity
PPM1F,P49593,Protein phosphatase 1F (EC 3.1.3.16) (Ca(2+)/calmodulin-dependent protein kinase phosphatase) (CaM-kinase phosphatase) (CaMKPase) (Partner of PIX 2) (Protein fem-2 homolog) (hFem-2),Enzyme_all_others,"phosphoprotein phosphatase activity; protein serine/threonine phosphatase activity; calcium-dependent protein serine/threonine phosphatase activity; hydrolase activity, acting on ester bonds; phosphatase activity; calmodulin-dependent protein phosphatase activity; phosphoric ester hydrolase activity"
GPC5,P78333,Glypican-5 [Cleaved into: Secreted glypican-5],Other,"""NA"""
SELENON,Q9NZV5,Selenoprotein N (SelN),Other,"""NA"""
RAB8B,Q92930,Ras-related protein Rab-8B,Other,nucleotide binding; nucleoside binding; purine nucleoside binding; purine nucleotide binding; guanyl nucleotide binding; GDP binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; guanyl ribonucleotide binding; carbohydrate derivative binding; nucleoside phosphate binding
SYNGR3,O43761,Synaptogyrin-3,Other,"""NA"""
ZNF517,Q6ZMY9,Zinc finger protein 517,Transcriptional_Factor_all_others,NA
PIF1,Q9H611,ATP-dependent Dna helicase PIF1 (EC 3.6.4.12) (Dna repair and recombination helicase PIF1) (PIF1/RRM3 Dna helicase-like protein),Enzyme_all_others,"nucleotide binding; magnesium ion binding; DNA helicase activity; ATP-dependent DNA helicase activity; helicase activity; ATP binding; ATP-dependent helicase activity; DNA-dependent ATPase activity; drug binding; pyrophosphatase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; ATPase activity; purine nucleotide binding; nucleoside-triphosphatase activity; single-stranded DNA-dependent ATP-dependent DNA helicase activity; adenyl nucleotide binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; DNA/RNA helicase activity; 5'-3' DNA/RNA helicase activity; ATP-dependent DNA/RNA helicase activity; ATP-dependent 5'-3' DNA/RNA helicase activity; purine ribonucleoside triphosphate binding; telomeric DNA binding; ATPase activity, coupled; 5'-3' DNA helicase activity; ATP-dependent 5'-3' DNA helicase activity; single-stranded DNA-dependent ATPase activity; metal ion binding; purine NTP-dependent helicase activity; carbohydrate derivative binding; catalytic activity, acting on DNA; catalytic activity, acting on RNA; nucleoside phosphate binding"
